"overweightMaleOptimal","obeseMaleOptimal","overweightFemaleOptimal","obeseFemaleOptimal"
0.445378151260504,0.252100840336134,0.222395023328149,0.202177293934681
0.403361344537815,0.254901960784314,0.225505443234837,0.195956454121306
0.375350140056022,0.26890756302521,0.225505443234837,0.192846034214619
0.366946778711485,0.274509803921569,0.223950233281493,0.191290824261275
0.338935574229692,0.291316526610644,0.216174183514774,0.188180404354588
0.333333333333333,0.282913165266106,0.214618973561431,0.189735614307932
0.333333333333333,0.274509803921569,0.19751166407465,0.194401244167963
0.333333333333333,0.263305322128852,0.205287713841369,0.189735614307932
0.341736694677871,0.257703081232493,0.183514774494557,0.191290824261275
0.319327731092437,0.257703081232493,0.178849144634526,0.191290824261275
0.316526610644258,0.254901960784314,0.163297045101089,0.191290824261275
