"cluster","MainFoodGroupDesc","description"
1,"1% Fat Milk","milk and cream"
2,"BACON AND HAM","meat and cheese"
2,"BEEF VEAL AND DISHES","meat and cheese"
4,"BISCUITS","biscuits, chocolate, crisps, puddings"
5,"BROWN GRANARY AND WHEATGERM BREAD","pasta, rice, bread"
4,"BUNS CAKES PASTRIES & FRUIT PIES","biscuits, chocolate, crisps, puddings"
2,"BURGERS AND KEBABS","meat and cheese"
6,"BUTTER","butter and fats"
2,"CHEESE","meat and cheese"
2,"CHICKEN AND TURKEY DISHES","meat and cheese"
5,"CHIPS FRIED & ROAST POTATOES AND POTATO PRODUCTS","pasta, rice, bread"
4,"CHOCOLATE CONFECTIONERY","biscuits, chocolate, crisps, puddings"
2,"COATED CHICKEN","meat and cheese"
4,"CRISPS AND SAVOURY SNACKS","biscuits, chocolate, crisps, puddings"
2,"EGGS AND EGG DISHES","meat and cheese"
9,"FRUIT","fruits and veg (inc juice)"
9,"FRUIT JUICE","fruits and veg (inc juice)"
5,"HIGH FIBRE BREAKFAST CEREALS","pasta, rice, bread"
4,"ICE CREAM","biscuits, chocolate, crisps, puddings"
2,"LAMB AND DISHES","meat and cheese"
2,"LIVER & DISHES","meat and cheese"
2,"LOW FAT SPREAD","meat and cheese"
2,"MEAT PIES AND PASTRIES","meat and cheese"
10,"MISCELLANEOUS","Misc"
5,"NUTS AND SEEDS","pasta, rice, bread"
2,"OILY FISH","meat and cheese"
5,"OTHER BREAD","pasta, rice, bread"
4,"OTHER BREAKFAST CEREALS","biscuits, chocolate, crisps, puddings"
6,"OTHER MARGARINE FATS AND OILS","butter and fats"
2,"OTHER MEAT AND MEAT PRODUCTS","meat and cheese"
1,"OTHER MILK AND CREAM","milk and cream"
5,"OTHER POTATOES POTATO SALADS & DISHES","pasta, rice, bread"
2,"OTHER WHITE FISH SHELLFISH & FISH DISHES","meat and cheese"
5,"PASTA RICE AND OTHER CEREALS","pasta, rice, bread"
2,"PORK AND DISHES","meat and cheese"
4,"PUDDINGS","biscuits, chocolate, crisps, puddings"
6,"PUFA MARGARINE & OILS","butter and fats"
2,"REDUCED FAT SPREAD","meat and cheese"
9,"SALAD AND OTHER RAW VEGETABLES","fruits and veg (inc juice)"
2,"SAUSAGES","meat and cheese"
1,"SEMI SKIMMED MILK","milk and cream"
1,"SKIMMED MILK","milk and cream"
9,"SMOOTHIES 100% FRUIT AND/OR JUICE","fruits and veg (inc juice)"
4,"SOFT DRINKS NOT LOW CALORIE","biscuits, chocolate, crisps, puddings"
4,"SUGAR CONFECTIONERY","biscuits, chocolate, crisps, puddings"
4,"SUGARS PRESERVES AND SWEET SPREADS","biscuits, chocolate, crisps, puddings"
9,"VEGETABLES NOT RAW","fruits and veg (inc juice)"
5,"WHITE BREAD","pasta, rice, bread"
2,"WHITE FISH COATED OR FRIED","meat and cheese"
1,"WHOLE MILK","milk and cream"
5,"WHOLEMEAL BREAD","pasta, rice, bread"
5,"YOGURT FROMAGE FRAIS AND DAIRY DESSERTS","pasta, rice, bread"
