"agecat","SES","0-200_f","0-200_m","201-500_f","201-500_m","501-750_f","501-750_m","750-1000_f","750-1000_m","1001+_f","1001+_m"
"16-34","low",0.12,0.06,0.36,0.24,0.21,0.2,0.14,0.16,0.18,0.35
"16-34","medium",0.09,0.06,0.34,0.27,0.26,0.26,0.17,0.15,0.15,0.26
"16-34","high",0.08,0.05,0.35,0.24,0.27,0.23,0.15,0.2,0.14,0.29
"35-44","low",0.12,0.08,0.34,0.33,0.28,0.27,0.18,0.15,0.08,0.17
"35-44","medium",0.11,0.08,0.39,0.29,0.26,0.22,0.14,0.16,0.09,0.24
"35-44","high",0.12,0.07,0.4,0.35,0.26,0.27,0.12,0.17,0.1,0.14
"45-64","low",0.17,0.12,0.41,0.34,0.29,0.21,0.08,0.16,0.05,0.17
"45-64","medium",0.12,0.11,0.47,0.35,0.26,0.26,0.12,0.17,0.03,0.11
"45-64","high",0.14,0.11,0.43,0.35,0.23,0.22,0.11,0.13,0.08,0.2
"65+","low",0.15,0.1,0.49,0.35,0.22,0.26,0.1,0.17,0.03,0.12
"65+","medium",0.13,0.1,0.47,0.39,0.25,0.27,0.1,0.12,0.04,0.13
"65+","high",0.13,0.08,0.48,0.32,0.25,0.27,0.1,0.15,0.05,0.17
